goodforairplane,metascore,imdbRating,tomatoRating,tomatoUserRating
1,30,5.5,3.8,2.9
0,67,6.2,6.4,3.4
0,48,7.5,5.6,3.8
0,32,5.8,3.9,3.3
1,,8.0,7.7,4.2
1,,7.0,7.2,3.8
1,,8.8,,4.5
1,47,7.1,5.4,3.9
1,73,8.7,7.6,3.6
1,73,8.2,7.5,4.1
0,77,7.3,7.4,3.3
0,,6.4,6.4,3.1
0,55,7.3,5.8,3.7
0,81,6.9,7.1,3.2
1,71,8.1,7.5,3.1
1,63,6.6,6.5,3.2
1,76,7.8,7.0,4.0
1,78,8.3,8.4,4.1
1,49,6.6,5.6,3.3
1,68,7.2,6.9,3.9
0,69,8.0,6.9,4.2
0,22,5.8,3.1,2.8
1,66,8.0,6.8,4.1
0,50,7.0,6.2,3.6
1,67,7.3,7.0,4.0
1,30,6.5,3.8,3.4
1,77,7.6,7.3,3.8
1,81,8.0,7.8,3.9
1,,7.5,7.0,4.3
1,65,6.8,6.0,3.7
0,62,8.2,6.8,3.9
0,48,6.7,5.5,3.3
0,,6.2,,3.0
0,64,6.4,6.8,3.1
1,,6.4,,3.1
1,66,7.7,7.1,3.7
1,57,7.5,7.3,3.3
1,58,7.0,5.8,3.4
1,87,7.2,8.3,3.4
1,,5.5,,2.6
0,85,7.9,8.1,3.6
0,,8.0,,2.9
0,68,7.3,6.8,4.0
0,,8.1,8.3,4.3
1,56,5.3,5.4,2.7
1,40,5.8,4.8,3.1
1,80,7.6,8.0,3.4
1,,6.0,,
1,71,7.5,7.5,3.4
1,56,6.9,5.9,3.7
0,76,7.9,8.2,4.1
0,52,7.6,5.6,4.4
0,60,7.1,6.3,3.7
0,,6.4,,3.5
1,74,8.7,7.0,4.2
1,47,6.3,5.0,3.6
1,67,7.3,7.2,4.1
1,86,6.9,8.2,3.7
1,74,7.9,7.4,4.3
1,73,8.1,7.7,4.3
0,64,5.7,6.0,2.9
0,75,7.7,7.5,4.3
0,52,6.7,4.4,3.3
0,52,6.1,,
1,63,7.1,6.4,3.6
1,,8.3,8.9,4.1
1,58,7.6,6.4,3.7
1,72,6.9,6.7,3.3
1,72,7.8,7.3,4.0
1,79,8.0,8.2,4.0
0,,7.6,,4.2
0,72,7.5,7.5,4.0
0,65,7.0,7.1,3.6
0,,7.0,,3.1
1,61,5.9,6.5,3.1
1,69,6.1,6.6,3.2
1,81,6.4,7.7,2.5
1,65,7.4,6.8,4.0
1,,6.3,,2.8
1,44,6.6,5.5,3.5
0,61,6.7,5.8,3.5
0,77,8.2,8.0,4.3
0,82,9.0,8.6,4.4
0,69,7.4,6.8,3.7
1,53,6.7,5.4,3.5
1,44,6.1,4.9,3.0
0,78,7.8,8.3,3.9
0,71,7.1,6.6,3.7
0,46,5.5,4.8,2.6
0,,7.0,,3.7
0,,5.4,4.4,3.2
0,94,8.9,9.0,4.2
0,,6.5,,4.2
0,,6.8,5.6,3.1
0,66,7.0,6.9,3.0
